"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","BS 客户控制台,统计分析-用量查询接口测试"," 小时粒度，UV峰值/总量正确 ","0","0","0","1","0"
"","CTYUN 客户控制台刷新预取页接口测试","domain/CheckPrivilege 刷不存在的URL","0","1","0","0","0"
"","VIP客户 用户用量查询 接口测试"," 视频点播产品查询 用户省份分析数据","0","0","1","0","0"
"","BS客户控制台,统计分析-热门分析接口测试","查询今天的域名排行","0","0","1","0","0"
"","VIP客户控制台,统计分析-热门分析接口测试","默认查询热门URL(回源)","0","0","1","0","0"
"","VIP客户控制台概览页接口测试","menu/GetTree接口1： CDN控制台主菜单","0","0","1","0","0"
"","VIP客户控制台概览页接口测试","menu/GetTree接口1： CDN控制台头部下拉菜单3","0","0","1","0","0"
"","BS客户控制台,统计分析-热门分析接口测试","下载加速产品下查询TOP客户端IP","0","0","1","0","0"
"","BS客户控制台,统计分析-热门分析接口测试","视频点播加速产品下查询Referer","0","0","1","0","0"
"","VIP客户控制台,统计分析-用量查询接口测试"," dataList 接口1,默认数据对比","0","0","1","0","0"
"","VIP客户控制台,统计分析-热门分析接口测试","下载加速产品下查询TOP客户端IP","0","0","1","0","0"
"","CTYUN 客户控制台 用户用量查询接口测试"," 静态加速产品查询 用户省份分析数据","0","1","0","0","0"
"","CTYUN客户控制台计费详情模块","flowpacket/ListV3 接口3","1","0","0","0","0"
"","BS客户控制台,统计分析-热门分析接口测试","默认查询热门URL","0","0","1","0","0"
"","CTYUN客户控制台计费详情模块","flowpacket/ListV3 接口4","1","0","0","0","0"
"","CTYUN 客户控制台概览页接口测试","cert/CertList接口","1","0","0","0","0"
"","客户控制台v1接口域名接口测试","域名新增-配置成功-域名启用-停用-启用","1","0","0","0","0"
"","CTYUN 客户控制台,统计分析-用量查询接口测试"," 天粒度，PV峰值/总量正确 ","0","0","0","1","0"
"","CTYUN客户控制台,统计分析-热门分析接口测试","访问次数维度查询热门Referer","0","1","0","0","0"
"","VIP客户控制台,统计分析-热门分析接口测试","视频直播加速产品下查询域名排行","0","0","1","0","0"
"","VIP客户控制台刷新预取页接口测试","CreateRefreshTask 刷没有操作权限的目录","0","0","1","0","0"
"","BS客户控制台,统计分析-热门分析接口测试","静态加速产品下查询TOP客户端IP","0","0","1","0","0"
"","CTYUN客户控制台,统计分析-热门分析接口测试","下载加速产品下查询热门Referer","0","1","0","0","0"
"","BS 客户控制台概览页接口测试","domain/GetList接口1","0","0","1","0","0"
